uuid,ply,move_number,mover_color,phase,move_san,cp_before,cp_after,cp_loss,classification
e1a2f616-91fe-11f1-b17d-52282501000f,1,1,white,opening,e4,39,43,0,ok
e1a2f616-91fe-11f1-b17d-52282501000f,3,2,white,opening,Nf3,45,46,0,ok
e1a2f616-91fe-11f1-b17d-52282501000f,5,3,white,opening,Nc3,63,34,29,ok
e1a2f616-91fe-11f1-b17d-52282501000f,7,4,white,opening,d4,37,33,4,ok
e1a2f616-91fe-11f1-b17d-52282501000f,9,5,white,opening,Nxd4,45,47,0,ok
e1a2f616-91fe-11f1-b17d-52282501000f,11,6,white,opening,Nxc6,46,4,42,ok
e1a2f616-91fe-11f1-b17d-52282501000f,13,7,white,opening,Bc4,15,22,0,ok
e1a2f616-91fe-11f1-b17d-52282501000f,15,8,white,opening,exd5,133,132,1,ok
e1a2f616-91fe-11f1-b17d-52282501000f,17,9,white,opening,Nxd5,288,154,134,mistake
e1a2f616-91fe-11f1-b17d-52282501000f,19,10,white,opening,Bf4,195,109,86,inaccuracy
e1a2f616-91fe-11f1-b17d-52282501000f,21,11,white,opening,Bc7,124,63,61,inaccuracy
e1a2f616-91fe-11f1-b17d-52282501000f,23,12,white,middlegame,Nxf6+,348,183,165,mistake
e1a2f616-91fe-11f1-b17d-52282501000f,25,13,white,middlegame,Qxg4,221,-36,257,mistake
e1a2f616-91fe-11f1-b17d-52282501000f,27,14,white,middlegame,O-O-O,-23,-177,154,mistake
e1a2f616-91fe-11f1-b17d-52282501000f,29,15,white,middlegame,h4,-11,-90,79,inaccuracy
e1a2f616-91fe-11f1-b17d-52282501000f,31,16,white,middlegame,b3,-4,-184,180,mistake
e1a2f616-91fe-11f1-b17d-52282501000f,33,17,white,middlegame,h5,-186,-925,739,blunder
e1a2f616-91fe-11f1-b17d-52282501000f,35,18,white,middlegame,Kb1,-99986,-99986,0,ok
e1a2f616-91fe-11f1-b17d-52282501000f,37,19,white,middlegame,Bxf7+,-99987,-99991,4,ok
e1a2f616-91fe-11f1-b17d-52282501000f,39,20,white,middlegame,Rxd8+,99989,99990,0,ok
e1a2f616-91fe-11f1-b17d-52282501000f,41,21,white,middlegame,h6#,99999,100000,0,ok
94292be5-9116-11f1-8d17-ee3b1801000f,1,1,white,opening,e4,45,43,2,ok
94292be5-9116-11f1-8d17-ee3b1801000f,3,2,white,opening,Nf3,45,45,0,ok
94292be5-9116-11f1-8d17-ee3b1801000f,5,3,white,opening,Nc3,40,20,20,ok
94292be5-9116-11f1-8d17-ee3b1801000f,7,4,white,opening,Bc4,15,-13,28,ok
94292be5-9116-11f1-8d17-ee3b1801000f,9,5,white,opening,d4,33,-86,119,mistake
94292be5-9116-11f1-8d17-ee3b1801000f,11,6,white,opening,Nxd4,-30,-40,10,ok
94292be5-9116-11f1-8d17-ee3b1801000f,13,7,white,opening,Qe2,-46,-186,140,mistake
94292be5-9116-11f1-8d17-ee3b1801000f,15,8,white,opening,Qxe4,-198,-184,0,ok
94292be5-9116-11f1-8d17-ee3b1801000f,17,9,white,opening,Bg5,-187,-608,421,blunder
94292be5-9116-11f1-8d17-ee3b1801000f,19,10,white,opening,Kd1,-572,-802,230,mistake
94292be5-9116-11f1-8d17-ee3b1801000f,21,11,white,opening,Nf5,-609,-663,54,inaccuracy
94292be5-9116-11f1-8d17-ee3b1801000f,23,12,white,middlegame,Ne7+,-695,-845,150,mistake
d92bd33d-9113-11f1-8d17-ee3b1801000f,2,1,black,opening,e5,-38,-35,0,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,4,2,black,opening,exd4,16,19,0,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,6,3,black,opening,Nc6,28,27,1,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,8,4,black,opening,Nf6,34,23,11,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,10,5,black,opening,Bd6,43,23,20,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,12,6,black,opening,O-O,23,24,0,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,14,7,black,opening,Re8,21,16,5,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,16,8,black,opening,Qe7,11,-36,47,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,18,9,black,opening,Bc5,-31,-43,12,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,20,10,black,opening,d6,-45,-83,38,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,22,11,black,middlegame,Nh5,-26,-158,132,mistake
d92bd33d-9113-11f1-8d17-ee3b1801000f,24,12,black,middlegame,Qe6,-136,-210,74,inaccuracy
d92bd33d-9113-11f1-8d17-ee3b1801000f,26,13,black,middlegame,Nd4,-80,-398,318,blunder
d92bd33d-9113-11f1-8d17-ee3b1801000f,28,14,black,middlegame,Bxd4,-434,-469,35,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,30,15,black,middlegame,Qe5,95,-410,505,blunder
d92bd33d-9113-11f1-8d17-ee3b1801000f,32,16,black,middlegame,Bxf2+,-414,-404,0,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,34,17,black,middlegame,Qd4+,-398,-418,20,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,36,18,black,middlegame,Qxc4,-397,-403,6,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,38,19,black,middlegame,Re5,-411,-411,0,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,40,20,black,middlegame,d5,-401,-99998,99597,blunder
d92bd33d-9113-11f1-8d17-ee3b1801000f,42,21,black,middlegame,Re8,-500,-523,23,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,44,22,black,middlegame,Rxe1+,-473,-519,46,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,46,23,black,middlegame,Bf5,-506,-512,6,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,48,24,black,middlegame,h6,-506,-536,30,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,50,25,black,middlegame,Qd4+,-491,-534,43,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,52,26,black,middlegame,Bxc2,-534,-527,0,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,54,27,black,middlegame,Bg6,-492,-500,8,ok
d92bd33d-9113-11f1-8d17-ee3b1801000f,56,28,black,middlegame,Qd3,-481,-615,134,mistake
