uuid,url,datetime_utc,time_class,time_control,rated,my_color,opponent,my_rating,opponent_rating,rating_diff,outcome,termination_reason,eco_code,opening_name,opening_family,num_plies,num_full_moves,first_move_mine,castled,castle_side,castle_move_number,datetime_local,day_of_week,hour_of_day
fc24bc47-6bd7-11ed-a6e4-78ac4409ff3c,https://www.chess.com/game/live/63019821639,2022-11-24 09:12:13+00:00,rapid,600,True,white,heomal,294,369,-75,loss,Checkmate,C20,Kings Pawn Opening 1...e5,Kings Pawn Opening,122,61,e4,True,kingside,16.0,2022-11-24 12:12:13+00:00,Thursday,12
abb2b92a-6bdb-11ed-a6e4-78ac4409ff3c,https://www.chess.com/game/live/63021601043,2022-11-24 09:38:04+00:00,rapid,600,True,black,heomal,170,376,-206,loss,Abandoned,C40,Kings Pawn Opening Kings Knight Variation,Kings Pawn Opening Kings Knight Variation,15,8,e5,False,,,2022-11-24 12:38:04+00:00,Thursday,12
9857521c-6bdc-11ed-a6e4-78ac4409ff3c,https://www.chess.com/game/live/63022161203,2022-11-24 09:45:33+00:00,rapid,600,True,white,heomal,351,364,-13,win,Checkmate,A40,Queens Pawn Opening Mikenas Defense,Queens Pawn Opening Mikenas Defense,87,44,d4,True,kingside,33.0,2022-11-24 12:45:33+00:00,Thursday,12
39c91e8d-6c87-11ed-a6e4-78ac4409ff3c,https://www.chess.com/game/live/63095370247,2022-11-25 06:06:40+00:00,rapid,600,True,white,heomal,437,332,105,win,Checkmate,C41,Philidor Defense,Philidor Defense,77,39,e4,False,,,2022-11-25 09:06:40+00:00,Friday,9
d152d74f-8941-11ed-b5e4-78ac4409ff3c,https://www.chess.com/game/live/66253992729,2022-12-31 19:32:15+00:00,rapid,600,True,black,PeerNic,518,462,56,win,Resignation,A00,Unclassified,Unclassified,16,8,d5,True,kingside,6.0,2022-12-31 22:32:15+00:00,Saturday,22
df24c934-8942-11ed-b5e4-78ac4409ff3c,https://www.chess.com/game/live/66254538411,2022-12-31 19:39:48+00:00,rapid,600,True,black,AnthonyJW,534,611,-77,draw,Stalemate,C40,Kings Pawn Opening Kings Knight Gunderam Defense,Kings Pawn Opening Kings Knight Gunderam Defense,80,40,e5,False,,,2022-12-31 22:39:48+00:00,Saturday,22
ddaf071b-8944-11ed-b5e4-78ac4409ff3c,https://www.chess.com/game/live/66255611439,2022-12-31 19:54:16+00:00,rapid,600,True,white,thanh140842,582,491,91,win,Timeout,A00,Van Geet Opening Reversed Nimzowitsch Napoleon Attack,Van Geet Opening Reversed Nimzowitsch Napoleon Attack,61,31,d4,False,,,2022-12-31 22:54:16+00:00,Saturday,22
4f09e5c9-8949-11ed-b5e4-78ac4409ff3c,https://www.chess.com/game/live/66257449257,2022-12-31 20:26:00+00:00,rapid,600,True,white,Hendex20,619,510,109,win,Resignation,C77,Ruy Lopez Opening Morphy Defense Wormald Attack 5...b5 6.Bb3,Ruy Lopez Opening Morphy Defense Wormald Attack,59,30,e4,True,kingside,9.0,2022-12-31 23:26:00+00:00,Saturday,23
ea3cc66d-894a-11ed-b5e4-78ac4409ff3c,https://www.chess.com/game/live/66258079459,2022-12-31 20:37:23+00:00,rapid,600,True,black,quannodrilla,576,611,-35,loss,Checkmate,C20,Kings Pawn Opening Leonardis Variation 2...Nf6 3.Nf3,Kings Pawn Opening Leonardis Variation,45,23,e5,True,kingside,10.0,2022-12-31 23:37:23+00:00,Saturday,23
f8a46830-894b-11ed-b5e4-78ac4409ff3c,https://www.chess.com/game/live/66258628589,2022-12-31 20:45:09+00:00,rapid,600,True,white,Mussahmed,536,557,-21,loss,Checkmate,D00,Queens Pawn Opening Chigorin Variation 2...c6,Queens Pawn Opening Chigorin Variation,50,25,d4,True,kingside,10.0,2022-12-31 23:45:09+00:00,Saturday,23
